TIME_STAMP,Lon,Lat,Event Technology,LTE KPI MAC DL Throughput[Mbps],LTE KPI CA Type,Smart Phone Smart Throughput Mobile Network DL Throughput [Mbps]
2022-08-09 13:36:13.200000,-115.173241,36.113400,,,2CA,
2022-08-09 13:36:13.300000,-115.173241,36.113400,,,2CA,
2022-08-09 13:36:13.400000,-115.173241,36.113400,,,2CA,21.477
2022-08-09 13:36:13.500000,-115.173241,36.113400,,,2CA,
2022-08-09 13:36:13.600000,-115.173241,36.113400,,,2CA,
2022-08-09 13:36:13.700000,-115.173241,36.113400,,,2CA,
2022-08-09 13:36:13.800000,-115.173241,36.113400,,,2CA,
2022-08-09 13:36:13.900000,-115.173241,36.113400,,,2CA,17.319
2022-08-09 13:36:14.000000,-115.173241,36.113400,LTE(2CA),19.295,2CA,
2022-08-09 13:36:14.100000,-115.173241,36.113400,,,2CA,
2022-08-09 13:36:14.200000,-115.173241,36.113400,,,2CA,
2022-08-09 13:36:14.300000,-115.173241,36.113400,,,2CA,
2022-08-09 13:36:14.400000,-115.173241,36.113400,,,2CA,21.637
2022-08-09 13:36:14.500000,-115.173241,36.113400,,,2CA,
2022-08-09 13:36:14.600000,-115.173241,36.113400,,,2CA,
2022-08-09 13:36:14.700000,-115.173241,36.113400,,,2CA,
2022-08-09 13:36:14.800000,-115.173241,36.113400,,,2CA,
2022-08-09 13:36:14.900000,-115.173241,36.113400,,,2CA,16.816
2022-08-09 13:36:15.000000,-115.173241,36.113400,LTE(2CA),14.977,2CA,
2022-08-09 13:36:15.100000,-115.173241,36.113400,,,2CA,
2022-08-09 13:36:15.200000,-115.173241,36.113400,,,2CA,
2022-08-09 13:36:15.300000,-115.173241,36.113400,,,2CA,
2022-08-09 13:36:15.400000,-115.173241,36.113400,,,2CA,15.034
2022-08-09 13:36:15.500000,-115.173241,36.113400,,,2CA,
2022-08-09 13:36:15.600000,-115.173241,36.113400,,,2CA,
2022-08-09 13:36:15.700000,-115.173241,36.113400,,,2CA,
2022-08-09 13:36:15.800000,-115.173241,36.113400,,,2CA,
2022-08-09 13:36:15.900000,-115.173241,36.113400,,,2CA,14.753
2022-08-09 13:36:16.000000,-115.173241,36.113400,LTE(2CA),26.283,2CA,
2022-08-09 13:36:16.100000,-115.173241,36.113400,,,2CA,
2022-08-09 13:36:16.200000,-115.173241,36.113400,,,2CA,
2022-08-09 13:36:16.300000,-115.173241,36.113400,,,2CA,
2022-08-09 13:36:16.400000,-115.173241,36.113400,,,2CA,25.595
2022-08-09 13:36:16.500000,-115.173241,36.113400,,,2CA,
2022-08-09 13:36:16.600000,-115.173241,36.113400,,,2CA,
2022-08-09 13:36:16.700000,-115.173241,36.113400,,,2CA,
2022-08-09 13:36:16.800000,-115.173241,36.113400,,,2CA,
2022-08-09 13:36:16.900000,-115.173241,36.113400,,,2CA,25.521
2022-08-09 13:36:17.000000,-115.173241,36.113400,LTE(2CA),26.347,2CA,
2022-08-09 13:36:17.100000,-115.173241,36.113400,,,2CA,
2022-08-09 13:36:17.200000,-115.173241,36.113400,,,2CA,
2022-08-09 13:36:17.300000,-115.173241,36.113400,,,2CA,
2022-08-09 13:36:17.400000,-115.173241,36.113400,,,2CA,30.411
2022-08-09 13:36:17.500000,-115.173241,36.113400,,,2CA,
2022-08-09 13:36:17.600000,-115.173241,36.113400,,,2CA,
2022-08-09 13:36:17.700000,-115.173241,36.113400,,,2CA,
2022-08-09 13:36:17.800000,-115.173241,36.113400,,,2CA,
2022-08-09 13:36:17.900000,-115.173241,36.113400,,,2CA,21.957
2022-08-09 13:36:18.000000,-115.173241,36.113400,LTE(2CA),21.425,2CA,
2022-08-09 13:36:18.100000,-115.173241,36.113400,,,2CA,
2022-08-09 13:36:18.200000,-115.173241,36.113400,,,2CA,
2022-08-09 13:36:18.300000,-115.173241,36.113400,,,2CA,
2022-08-09 13:36:18.400000,-115.173241,36.113400,,,2CA,20.796
2022-08-09 13:36:18.500000,-115.173241,36.113400,,,2CA,
2022-08-09 13:36:18.600000,-115.173241,36.113400,,,2CA,
2022-08-09 13:36:18.700000,-115.173241,36.113400,,,2CA,
2022-08-09 13:36:18.800000,-115.173241,36.113400,,,2CA,
2022-08-09 13:36:18.900000,-115.173241,36.113400,,,2CA,23.062
2022-08-09 13:36:19.000000,-115.173241,36.113400,LTE(2CA),22.356,2CA,
2022-08-09 13:36:19.100000,-115.173241,36.113400,,,2CA,
2022-08-09 13:36:19.200000,-115.173241,36.113400,,,2CA,
2022-08-09 13:36:19.300000,-115.173241,36.113400,,,2CA,
2022-08-09 13:36:19.400000,-115.173241,36.113400,,,2CA,22.883
