nuttcp-t: v8.1.4: socket
nuttcp-t: buflen=65536, nstream=1, port=5007 tcp -> 54.176.53.206
nuttcp-t: time limit = 30.00 seconds
nuttcp-t: connect to 54.176.53.206 with mss=1376, RTT=30.602 ms af=inet
nuttcp-t: send window size = 33554432, receive window size = 6291456
nuttcp-t: available send window = 25165824, available receive window = 4718592
nuttcp-t: initial congestion window = 13 KB (10 packets)
nuttcp-r: Warning: receive window size 25000000 < requested window size 26214400
nuttcp-r: v6.1.2: socket
nuttcp-r: buflen=65536, nstream=1, port=5007 tcp
nuttcp-r: interval reporting every 0.10 seconds
nuttcp-r: accept from 174.204.9.100
nuttcp-r: send window size = 25000000, receive window size = 50000000
nuttcp-r: available send window = 12500000, available receive window = 25000000
    2.6250 MB /   0.10 sec =  220.6135 Mbps     0 retrans   5567 KB-cwnd
    2.9375 MB /   0.10 sec =  246.4573 Mbps     0 retrans   5567 KB-cwnd
    2.0000 MB /   0.10 sec =  167.7889 Mbps     0 retrans   5567 KB-cwnd
    2.2500 MB /   0.10 sec =  188.7569 Mbps     0 retrans   5567 KB-cwnd
    2.1250 MB /   0.10 sec =  178.2668 Mbps     0 retrans   5567 KB-cwnd
    2.0625 MB /   0.10 sec =  172.9839 Mbps     0 retrans   5567 KB-cwnd
    2.2500 MB /   0.10 sec =  188.4215 Mbps     0 retrans   5567 KB-cwnd
    3.0000 MB /   0.10 sec =  251.5174 Mbps     0 retrans   5567 KB-cwnd
    2.6875 MB /   0.10 sec =  225.7531 Mbps     0 retrans   5567 KB-cwnd
    2.3125 MB /   0.10 sec =  193.6825 Mbps     0 retrans   5567 KB-cwnd
    2.6875 MB /   0.10 sec =  225.9296 Mbps     0 retrans   5567 KB-cwnd
    3.1875 MB /   0.10 sec =  267.5153 Mbps     0 retrans   5567 KB-cwnd
    2.6250 MB /   0.10 sec =  220.1988 Mbps     0 retrans   5567 KB-cwnd
    2.6250 MB /   0.10 sec =  220.1767 Mbps     0 retrans   5567 KB-cwnd
    2.9375 MB /   0.10 sec =  246.4400 Mbps     0 retrans   5567 KB-cwnd
    2.6250 MB /   0.10 sec =  220.1547 Mbps     0 retrans   5567 KB-cwnd
    2.9375 MB /   0.10 sec =  246.3981 Mbps     0 retrans   5567 KB-cwnd
    2.7500 MB /   0.10 sec =  230.7606 Mbps     0 retrans   5567 KB-cwnd
    2.2500 MB /   0.10 sec =  188.7116 Mbps     0 retrans   5567 KB-cwnd
    2.5625 MB /   0.10 sec =  214.0846 Mbps     0 retrans   5567 KB-cwnd
    3.3125 MB /   0.10 sec =  279.0222 Mbps     0 retrans   5567 KB-cwnd
    2.4375 MB /   0.10 sec =  204.4539 Mbps     0 retrans   5567 KB-cwnd
    2.9375 MB /   0.10 sec =  246.4720 Mbps     0 retrans   5567 KB-cwnd
    2.1875 MB /   0.10 sec =  183.0286 Mbps     0 retrans   5567 KB-cwnd
    2.6250 MB /   0.10 sec =  220.7042 Mbps     0 retrans   5567 KB-cwnd
    2.8125 MB /   0.10 sec =  235.4023 Mbps     0 retrans   5567 KB-cwnd
    2.8750 MB /   0.10 sec =  241.7842 Mbps     0 retrans   5567 KB-cwnd
    2.5625 MB /   0.10 sec =  214.9387 Mbps     0 retrans   5567 KB-cwnd
    2.5000 MB /   0.10 sec =  209.6963 Mbps     0 retrans   5567 KB-cwnd
    2.6875 MB /   0.10 sec =  225.4822 Mbps     0 retrans   5567 KB-cwnd
    3.2500 MB /   0.10 sec =  272.6298 Mbps     0 retrans   5567 KB-cwnd
    2.5625 MB /   0.10 sec =  214.9087 Mbps     0 retrans   5567 KB-cwnd
    2.8125 MB /   0.10 sec =  235.9154 Mbps     0 retrans   5567 KB-cwnd
    2.6250 MB /   0.10 sec =  220.2604 Mbps     0 retrans   5567 KB-cwnd
    3.0625 MB /   0.10 sec =  256.8318 Mbps     0 retrans   5567 KB-cwnd
    2.8750 MB /   0.10 sec =  241.2111 Mbps     0 retrans   5567 KB-cwnd
    2.3125 MB /   0.10 sec =  194.0001 Mbps     0 retrans   5567 KB-cwnd
    2.5000 MB /   0.10 sec =  209.7005 Mbps     0 retrans   5567 KB-cwnd
    2.3125 MB /   0.10 sec =  194.0021 Mbps     0 retrans   5567 KB-cwnd
    1.9375 MB /   0.10 sec =  162.5293 Mbps     0 retrans   5567 KB-cwnd
    3.6250 MB /   0.10 sec =  304.0566 Mbps     0 retrans   5567 KB-cwnd
    3.0000 MB /   0.10 sec =  251.6784 Mbps     0 retrans   5567 KB-cwnd
    3.0625 MB /   0.10 sec =  256.1480 Mbps     0 retrans   5567 KB-cwnd
    2.9375 MB /   0.10 sec =  247.1271 Mbps     0 retrans   5567 KB-cwnd
    3.0625 MB /   0.10 sec =  256.9371 Mbps     0 retrans   5567 KB-cwnd
    3.0000 MB /   0.10 sec =  251.6457 Mbps     0 retrans   5567 KB-cwnd
    3.2500 MB /   0.10 sec =  272.6161 Mbps     0 retrans   5567 KB-cwnd
    2.9375 MB /   0.10 sec =  246.3956 Mbps     0 retrans   5567 KB-cwnd
    3.1875 MB /   0.10 sec =  267.4350 Mbps     0 retrans   5567 KB-cwnd
    3.1875 MB /   0.10 sec =  267.3789 Mbps     0 retrans   5567 KB-cwnd
    3.0000 MB /   0.10 sec =  251.6608 Mbps     0 retrans   5567 KB-cwnd
    3.2500 MB /   0.10 sec =  272.6298 Mbps     0 retrans   5567 KB-cwnd
    2.5000 MB /   0.10 sec =  209.7152 Mbps     0 retrans   5567 KB-cwnd
    3.2500 MB /   0.10 sec =  272.5889 Mbps     0 retrans   5567 KB-cwnd
    2.0000 MB /   0.10 sec =  167.3621 Mbps     0 retrans   5567 KB-cwnd
    2.1250 MB /   0.10 sec =  178.6241 Mbps     0 retrans   5567 KB-cwnd
    3.0000 MB /   0.10 sec =  251.7589 Mbps     0 retrans   5567 KB-cwnd
    2.7500 MB /   0.10 sec =  230.7121 Mbps     0 retrans   5567 KB-cwnd
    3.0625 MB /   0.10 sec =  256.8934 Mbps     0 retrans   5567 KB-cwnd
    2.8125 MB /   0.10 sec =  235.9508 Mbps     0 retrans   5567 KB-cwnd
    2.8125 MB /   0.10 sec =  235.8989 Mbps     0 retrans   5567 KB-cwnd
    2.9375 MB /   0.10 sec =  246.4326 Mbps     0 retrans   5567 KB-cwnd
    3.0625 MB /   0.10 sec =  256.8677 Mbps     0 retrans   5567 KB-cwnd
    2.8750 MB /   0.10 sec =  241.1990 Mbps     0 retrans   5567 KB-cwnd
    2.9375 MB /   0.10 sec =  246.4301 Mbps     0 retrans   5567 KB-cwnd
    2.8750 MB /   0.10 sec =  241.1701 Mbps     0 retrans   5567 KB-cwnd
    2.5000 MB /   0.10 sec =  209.6796 Mbps     0 retrans   5567 KB-cwnd
    3.2500 MB /   0.10 sec =  272.4009 Mbps     0 retrans   5567 KB-cwnd
    2.7500 MB /   0.10 sec =  230.8945 Mbps     0 retrans   5567 KB-cwnd
