,TIME_STAMP,Number of frames dropped,FPS,Frame drop percentage
168,2022-08-10 14:33:31,0,60.0,0.0
169,2022-08-10 14:33:32,0,60.0,0.0
170,2022-08-10 14:33:33,0,60.0,0.0
171,2022-08-10 14:33:34,0,60.0,0.0
172,2022-08-10 14:33:35,0,60.0,0.0
173,2022-08-10 14:33:36,0,60.0,0.0
174,2022-08-10 14:33:37,0,60.0,0.0
175,2022-08-10 14:33:38,0,60.0,0.0
176,2022-08-10 14:33:39,0,60.0,0.0
177,2022-08-10 14:33:40,0,60.0,0.0
178,2022-08-10 14:33:41,0,60.0,0.0
179,2022-08-10 14:33:42,0,60.0,0.0
180,2022-08-10 14:33:43,0,60.0,0.0
181,2022-08-10 14:33:44,0,60.0,0.0
182,2022-08-10 14:33:45,0,60.0,0.0
183,2022-08-10 14:33:46,0,60.0,0.0
184,2022-08-10 14:33:47,0,60.0,0.0
185,2022-08-10 14:33:48,0,60.0,0.0
186,2022-08-10 14:33:49,0,60.0,0.0
187,2022-08-10 14:33:50,0,60.0,0.0
188,2022-08-10 14:33:51,0,60.0,0.0
189,2022-08-10 14:33:52,56,60.0,93.33333333333333
190,2022-08-10 14:33:53,71,60.0,118.33333333333333
191,2022-08-10 14:33:54,0,60.0,0.0
192,2022-08-10 14:33:55,0,60.0,0.0
193,2022-08-10 14:33:56,0,60.0,0.0
194,2022-08-10 14:33:57,127,60.0,211.66666666666666
195,2022-08-10 14:33:58,0,60.0,0.0
196,2022-08-10 14:33:59,0,60.0,0.0
197,2022-08-10 14:34:00,0,60.0,0.0
198,2022-08-10 14:34:01,0,60.0,0.0
199,2022-08-10 14:34:02,0,60.0,0.0
200,2022-08-10 14:34:03,0,60.0,0.0
201,2022-08-10 14:34:04,24,60.0,40.0
202,2022-08-10 14:34:05,6,60.0,10.0
203,2022-08-10 14:34:06,34,60.0,56.666666666666664
204,2022-08-10 14:34:07,19,60.0,31.666666666666664
205,2022-08-10 14:34:08,12,60.0,20.0
206,2022-08-10 14:34:09,30,60.0,50.0
207,2022-08-10 14:34:10,0,60.0,0.0
208,2022-08-10 14:34:11,0,60.0,0.0
209,2022-08-10 14:34:12,0,60.0,0.0
210,2022-08-10 14:34:13,0,60.0,0.0
211,2022-08-10 14:34:14,32,60.0,53.333333333333336
212,2022-08-10 14:34:15,17,60.0,28.333333333333332
213,2022-08-10 14:34:16,31,60.0,51.66666666666667
214,2022-08-10 14:34:17,21,60.0,35.0
215,2022-08-10 14:34:18,24,60.0,40.0
216,2022-08-10 14:34:19,0,60.0,0.0
217,2022-08-10 14:34:20,0,60.0,0.0
218,2022-08-10 14:34:21,0,60.0,0.0
219,2022-08-10 14:34:22,28,60.0,46.666666666666664
220,2022-08-10 14:34:23,34,60.0,56.666666666666664
221,2022-08-10 14:34:24,0,60.0,0.0
222,2022-08-10 14:34:25,24,60.0,40.0
223,2022-08-10 14:34:26,22,60.0,36.666666666666664
224,2022-08-10 14:34:27,16,60.0,26.666666666666668
225,2022-08-10 14:34:28,26,60.0,43.333333333333336
226,2022-08-10 14:34:29,0,60.0,0.0
227,2022-08-10 14:34:30,0,60.0,0.0
228,2022-08-10 14:34:31,0,60.0,0.0
229,2022-08-10 14:34:32,0,60.0,0.0
230,2022-08-10 14:34:33,0,60.0,0.0
231,2022-08-10 14:34:34,23,60.0,38.333333333333336
232,2022-08-10 14:34:35,0,60.0,0.0
233,2022-08-10 14:34:36,20,60.0,33.33333333333333
234,2022-08-10 14:34:37,0,60.0,0.0
235,2022-08-10 14:34:38,26,60.0,43.333333333333336
236,2022-08-10 14:34:39,0,60.0,0.0
237,2022-08-10 14:34:40,0,60.0,0.0
238,2022-08-10 14:34:41,0,60.0,0.0
239,2022-08-10 14:34:42,0,60.0,0.0
240,2022-08-10 14:34:43,0,60.0,0.0
241,2022-08-10 14:34:44,0,60.0,0.0
242,2022-08-10 14:34:45,0,60.0,0.0
243,2022-08-10 14:34:46,0,60.0,0.0
244,2022-08-10 14:34:47,0,60.0,0.0
245,2022-08-10 14:34:48,0,60.0,0.0
246,2022-08-10 14:34:49,0,60.0,0.0
247,2022-08-10 14:34:50,0,60.0,0.0
248,2022-08-10 14:34:51,0,60.0,0.0
249,2022-08-10 14:34:52,0,60.0,0.0
