TIME_STAMP,Lon,Lat,LTE KPI CA Type,LTE KPI UL CA Type,Event Technology,Event LTE Events,Event 5G-NR/LTE Events,LTE KPI PCell M(Tx) x N(Rx) Ant,Smart Phone Smart Throughput Mobile Network DL Throughput [Mbps],Smart Phone Smart Throughput Mobile Network UL Throughput [Mbps],Smart Phone Smart Throughput Mobile Network Rx Byte,Smart Phone Smart Throughput Mobile Network Tx Byte,Qualcomm Lte/LteAdv Intrafreq Measure PCell Frequency(DL)[MHz],Qualcomm Lte/LteAdv Intrafreq Measure PCell Frequency(UL)[MHz]
2022-08-08 11:33:51.300000,-118.236801,34.058800,NonCA,NonCA,,,,,,,,,1955.00,1875.00
2022-08-08 11:33:51.400000,-118.236801,34.058800,NonCA,NonCA,,,,,,,,,1955.00,1875.00
2022-08-08 11:33:51.500000,-118.236801,34.058800,NonCA,,,,,,,,,,1955.00,1875.00
2022-08-08 11:33:51.600000,-118.236801,34.058800,NonCA,NonCA,,,,,,,,,1955.00,1875.00
2022-08-08 11:33:51.700000,-118.236801,34.058800,NonCA,NonCA,,,,,0.169,0.119,10576,7428,1955.00,1875.00
2022-08-08 11:33:51.800000,-118.236801,34.058800,NonCA,NonCA,,,,,,,,,1955.00,1875.00
2022-08-08 11:33:51.900000,-118.236801,34.058800,NonCA,NonCA,,,,,,,,,1955.00,1875.00
2022-08-08 11:33:52.000000,-118.236801,34.058800,NonCA,,LTE,,,4x4,,,,,1955.00,1875.00
2022-08-08 11:33:52.100000,-118.236801,34.058800,NonCA,NonCA,,,,,,,,,1955.00,1875.00
2022-08-08 11:33:52.200000,-118.236801,34.058800,NonCA,NonCA,,,,,0.065,0.137,4066,8533,1955.00,1875.00
2022-08-08 11:33:52.300000,-118.236801,34.058800,NonCA,NonCA,,,,,,,,,1955.00,1875.00
2022-08-08 11:33:52.400000,-118.236801,34.058800,NonCA,NonCA,,,,,,,,,1955.00,1875.00
2022-08-08 11:33:52.500000,-118.236801,34.058800,NonCA,NonCA,,,,,,,,,1955.00,1875.00
2022-08-08 11:33:52.600000,-118.236801,34.058800,NonCA,,,,,,,,,,1955.00,1875.00
2022-08-08 11:33:52.700000,-118.236801,34.058800,NonCA,NonCA,,,,,0.061,0.127,3830,7921,1955.00,1875.00
2022-08-08 11:33:52.800000,-118.236801,34.058800,NonCA,NonCA,,,,,,,,,1955.00,1875.00
2022-08-08 11:33:52.900000,-118.236801,34.058800,NonCA,NonCA,,,,,,,,,1955.00,1875.00
2022-08-08 11:33:53.000000,-118.236801,34.058800,NonCA,NonCA,LTE,,,4x4,,,,,1955.00,1875.00
2022-08-08 11:33:53.100000,-118.236801,34.058800,NonCA,,,,,,,,,,1955.00,1875.00
2022-08-08 11:33:53.200000,-118.236801,34.058800,NonCA,NonCA,,,,,0.097,0.110,6087,6849,1955.00,1875.00
2022-08-08 11:33:53.300000,-118.236801,34.058800,NonCA,NonCA,,,,,,,,,1955.00,1875.00
2022-08-08 11:33:53.400000,-118.236801,34.058800,NonCA,,,,,,,,,,1955.00,1875.00
2022-08-08 11:33:53.500000,-118.236801,34.058800,NonCA,NonCA,,,,,,,,,1955.00,1875.00
2022-08-08 11:33:53.600000,-118.236801,34.058800,NonCA,NonCA,,,,,,,,,1955.00,1875.00
2022-08-08 11:33:53.700000,-118.236801,34.058800,NonCA,NonCA,,,,,0.037,0.059,2288,3671,1955.00,1875.00
2022-08-08 11:33:53.800000,-118.236801,34.058800,NonCA,NonCA,,,,,,,,,1955.00,1875.00
2022-08-08 11:33:53.900000,-118.236801,34.058800,NonCA,,,,,,,,,,1955.00,1875.00
2022-08-08 11:33:54.000000,-118.236801,34.058800,NonCA,NonCA,LTE,,,4x4,,,,,1955.00,1875.00
2022-08-08 11:33:54.100000,-118.236801,34.058800,NonCA,NonCA,,,,,,,,,1955.00,1875.00
2022-08-08 11:33:54.200000,-118.236801,34.058800,NonCA,NonCA,,,,,0.172,0.192,10796,12040,1955.00,1875.00
2022-08-08 11:33:54.300000,-118.236801,34.058800,NonCA,NonCA,,,,,,,,,1955.00,1875.00
2022-08-08 11:33:54.400000,-118.236801,34.058800,NonCA,NonCA,,,,,,,,,1955.00,1875.00
2022-08-08 11:33:54.500000,-118.236801,34.058800,NonCA,NonCA,,,,,,,,,1955.00,1875.00
2022-08-08 11:33:54.600000,-118.236801,34.058800,NonCA,NonCA,,,,,,,,,1955.00,1875.00
2022-08-08 11:33:54.700000,-118.236801,34.058800,NonCA,NonCA,,,,,0.881,0.138,54968,8622,1955.00,1875.00
2022-08-08 11:33:54.800000,-118.236801,34.058800,NonCA,NonCA,,,,,,,,,1955.00,1875.00
2022-08-08 11:33:54.900000,-118.236801,34.058800,NonCA,NonCA,,,,,,,,,1955.00,1875.00
2022-08-08 11:33:55.000000,-118.236801,34.058800,NonCA,NonCA,LTE,,,4x4,,,,,1955.00,1875.00
2022-08-08 11:33:55.100000,-118.236801,34.058800,NonCA,NonCA,,,,,,,,,1955.00,1875.00
2022-08-08 11:33:55.200000,-118.236801,34.058800,NonCA,NonCA,,,,,1.836,0.098,114744,6120,1955.00,1875.00
2022-08-08 11:33:55.201932,-118.236801,34.058800,,,,reportStrongestCells,reportStrongestCells,,,,,,,
2022-08-08 11:33:55.300000,-118.236801,34.058800,NonCA,NonCA,,,,,,,,,1955.00,1875.00
2022-08-08 11:33:55.400000,-118.236801,34.058800,NonCA,NonCA,,,,,,,,,1955.00,1875.00
2022-08-08 11:33:55.500000,-118.236801,34.058800,NonCA,NonCA,,,,,,,,,1955.00,1875.00
2022-08-08 11:33:55.600000,-118.236801,34.058800,NonCA,NonCA,,,,,,,,,1955.00,1875.00
2022-08-08 11:33:55.700000,-118.236801,34.058800,NonCA,NonCA,,,,,1.326,0.056,82890,3529,1955.00,1875.00
2022-08-08 11:33:55.800000,-118.236801,34.058800,NonCA,NonCA,,,,,,,,,1955.00,1875.00
2022-08-08 11:33:55.900000,-118.236801,34.058800,NonCA,NonCA,,,,,,,,,1955.00,1875.00
2022-08-08 11:33:56.000000,-118.236801,34.058800,NonCA,NonCA,LTE,,,4x4,,,,,1955.00,1875.00
2022-08-08 11:33:56.100000,-118.236801,34.058800,NonCA,NonCA,,,,,,,,,1955.00,1875.00
2022-08-08 11:33:56.200000,-118.236801,34.058800,NonCA,NonCA,,,,,1.730,0.155,108120,9678,1955.00,1875.00
2022-08-08 11:33:56.300000,-118.236801,34.058800,NonCA,NonCA,,,,,,,,,1955.00,1875.00
2022-08-08 11:33:56.400000,-118.236801,34.058800,NonCA,NonCA,,,,,,,,,1955.00,1875.00
2022-08-08 11:33:56.500000,-118.236801,34.058800,NonCA,NonCA,,,,,,,,,1955.00,1875.00
2022-08-08 11:33:56.600000,-118.236801,34.058800,NonCA,NonCA,,,,,,,,,1955.00,1875.00
2022-08-08 11:33:56.700000,-118.236801,34.058800,NonCA,NonCA,,,,,2.670,0.167,166854,10447,1955.00,1875.00
2022-08-08 11:33:56.800000,-118.236801,34.058800,NonCA,NonCA,,,,,,,,,1955.00,1875.00
2022-08-08 11:33:56.900000,-118.236801,34.058800,NonCA,NonCA,,,,,,,,,1955.00,1875.00
2022-08-08 11:33:57.000000,-118.236801,34.058800,NonCA,NonCA,LTE,,,4x4,,,,,1955.00,1875.00
2022-08-08 11:33:57.100000,-118.236801,34.058800,NonCA,NonCA,,,,,,,,,1955.00,1875.00
2022-08-08 11:33:57.200000,-118.236801,34.058800,NonCA,NonCA,,,,,6.721,0.126,420917,7920,1955.00,1875.00
2022-08-08 11:33:57.300000,-118.236801,34.058800,NonCA,NonCA,,,,,,,,,1955.00,1875.00
2022-08-08 11:33:57.400000,-118.236801,34.058800,NonCA,NonCA,,,,,,,,,1955.00,1875.00
2022-08-08 11:33:57.500000,-118.236801,34.058800,NonCA,NonCA,,,,,,,,,1955.00,1875.00
2022-08-08 11:33:57.600000,-118.236801,34.058800,NonCA,NonCA,,,,,,,,,1955.00,1875.00
2022-08-08 11:33:57.700000,-118.236801,34.058800,NonCA,NonCA,,,,,6.991,0.053,436054,3301,1955.00,1875.00
2022-08-08 11:33:57.800000,-118.236801,34.058800,NonCA,NonCA,,,,,,,,,1955.00,1875.00
2022-08-08 11:33:57.900000,-118.236801,34.058800,NonCA,NonCA,,,,,,,,,1955.00,1875.00
2022-08-08 11:33:58.000000,-118.236801,34.058800,NonCA,NonCA,LTE,,,4x4,,,,,1955.00,1875.00
2022-08-08 11:33:58.100000,-118.236801,34.058800,NonCA,NonCA,,,,,,,,,1955.00,1875.00
