,TIME_STAMP,Number of frames dropped,FPS,Frame drop percentage
221,2022-08-12 18:06:44,0,60.0,0.0
222,2022-08-12 18:06:45,0,60.0,0.0
223,2022-08-12 18:06:46,0,60.0,0.0
224,2022-08-12 18:06:47,0,60.0,0.0
225,2022-08-12 18:06:48,0,60.0,0.0
226,2022-08-12 18:06:49,0,60.0,0.0
227,2022-08-12 18:06:50,0,60.0,0.0
228,2022-08-12 18:06:51,0,60.0,0.0
229,2022-08-12 18:06:52,0,60.0,0.0
230,2022-08-12 18:06:53,0,60.0,0.0
231,2022-08-12 18:06:54,0,60.0,0.0
232,2022-08-12 18:06:55,0,60.0,0.0
233,2022-08-12 18:06:56,0,60.0,0.0
234,2022-08-12 18:06:57,0,60.0,0.0
235,2022-08-12 18:06:58,0,60.0,0.0
236,2022-08-12 18:06:59,0,60.0,0.0
237,2022-08-12 18:07:00,0,60.0,0.0
238,2022-08-12 18:07:01,0,60.0,0.0
239,2022-08-12 18:07:02,0,60.0,0.0
240,2022-08-12 18:07:03,0,60.0,0.0
241,2022-08-12 18:07:04,0,60.0,0.0
242,2022-08-12 18:07:05,0,60.0,0.0
243,2022-08-12 18:07:06,0,60.0,0.0
244,2022-08-12 18:07:07,0,60.0,0.0
245,2022-08-12 18:07:08,0,60.0,0.0
246,2022-08-12 18:07:09,0,60.0,0.0
247,2022-08-12 18:07:10,0,60.0,0.0
248,2022-08-12 18:07:11,0,60.0,0.0
249,2022-08-12 18:07:12,0,60.0,0.0
