,level_0,index,TIME_STAMP,Lat,Lon,Smart Phone Smart Throughput Mobile Network DL Throughput [Mbps],Smart Phone Smart Throughput Mobile Network UL Throughput [Mbps],Event 5G-NR/LTE Events,5G KPI PCell RF Frequency [MHz],5G KPI PCell RF Serving PCI,5G KPI PCell Layer1 UL MCS (Avg),5G KPI PCell Layer1 UL BLER [%],5G KPI PCell RF Serving SS-RSRP [dBm],5G KPI PCell RF BandWidth,5G KPI PCell Layer1 DL MCS (Avg),5G KPI PCell Layer1 DL BLER [%],5G KPI PCell Layer2 MAC UL Throughput [Mbps],5G KPI PCell RF Serving SS-RSRP [dBm],5G KPI SCell[1] Layer2 MAC UL Throughput [Mbps],5G KPI SCell[2] Layer2 MAC UL Throughput [Mbps],5G KPI SCell[3] Layer2 MAC UL Throughput [Mbps],5G KPI SCell[4] Layer2 MAC UL Throughput [Mbps],5G KPI SCell[5] Layer2 MAC UL Throughput [Mbps],5G KPI SCell[6] Layer2 MAC UL Throughput [Mbps],5G KPI SCell[7] Layer2 MAC UL Throughput [Mbps],5G KPI PCell Layer2 MAC DL Throughput [Mbps],5G KPI SCell[1] Layer2 MAC DL Throughput [Mbps],5G KPI SCell[2] Layer2 MAC DL Throughput [Mbps],5G KPI SCell[3] Layer2 MAC DL Throughput [Mbps],5G KPI SCell[4] Layer2 MAC DL Throughput [Mbps],5G KPI SCell[5] Layer2 MAC DL Throughput [Mbps],5G KPI SCell[6] Layer2 MAC DL Throughput [Mbps],5G KPI SCell[7] Layer2 MAC DL Throughput [Mbps],LTE KPI PCell Serving EARFCN(DL),LTE KPI PCell Serving PCI,LTE KPI PCell MAC DL Throughput[Mbps],LTE KPI PCell MAC UL Throughput[Mbps],LTE KPI SCell[1] MAC DL Throughput[Mbps],LTE KPI SCell[2] MAC DL Throughput[Mbps],LTE KPI SCell[3] MAC DL Throughput[Mbps],LTE KPI SCell[4] MAC DL Throughput[Mbps],LTE KPI SCell[1] MAC UL Throughput[Mbps],LTE KPI SCell[2] MAC UL Throughput[Mbps],LTE KPI SCell[3] MAC UL Throughput[Mbps],LTE KPI SCell[4] MAC UL Throughput[Mbps],LTE KPI PCell UL MCS,LTE KPI PCell Serving RSRP[dBm],Smart Phone Smart Throughput Mobile Network Tx Byte,LTE KPI PCell Serving BandWidth(DL),LTE KPI PCell DL MCS0,LTE KPI PDSCH BLER[%],LTE KPI PCell Serving RSRP[dBm]
84,17462,108081,2022-08-14 17:30:14.800000,40.868938,-82.235138,0.321,0.018,,873.85,340.0,0.0,0.0,-101.47,10.0,6.5,0.0,0.002,-101.47,,,,,,,,0.141,,,,,,,,1025.0,340.0,,,,,,,,,,,,-108.44,1144.0,5.0,,,-108.44
85,17463,108086,2022-08-14 17:30:15.300000,40.868996,-82.23494,0.207,0.021,,873.85,340.0,,,-103.58,10.0,10.0,50.0,0.0,-103.58,,,,,,,,0.1,,,,,,,,1025.0,340.0,,,,,,,,,,,4.4,-109.96,1334.0,5.0,6.0,7.14,-109.96
86,17464,108094,2022-08-14 17:30:15.863519,40.869057,-82.234718,,,NR SCG Modification Success,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
87,17465,108108,2022-08-14 17:30:16.800000,40.869148,-82.234352,0.116,0.016,,,,,,,,,,,,,,,,,,,,,,,,,,,1025.0,340.0,,,,,,,,,,,,-108.01,978.0,5.0,9.57,14.29,-108.01
88,17466,108113,2022-08-14 17:30:17.300000,40.869202,-82.234161,0.206,0.012,,873.85,346.0,,,-99.8,10.0,,,0.0,-99.8,,,,,,,,0.0,,,,,,,,1025.0,340.0,,,,,,,,,,,11.6,-109.69,756.0,5.0,7.7,0.0,-109.69
89,17467,108118,2022-08-14 17:30:17.800000,40.869259,-82.233963,0.184,0.012,,,,0.0,40.0,,,2.25,25.0,0.004,,,,,,,,,0.154,,,,,,,,1025.0,340.0,,,,,,,,,,,9.75,-111.2,756.0,5.0,5.09,21.74,-111.2
90,17468,108123,2022-08-14 17:30:18.300000,40.869316,-82.233772,0.319,0.018,,,,0.0,0.0,,,4.33,78.57,0.006,,,,,,,,,0.12,,,,,,,,1025.0,340.0,,,,,,,,,,,5.0,-107.26,1111.0,5.0,3.98,6.38,-107.26
91,17469,108128,2022-08-14 17:30:18.800000,40.86937,-82.233582,0.321,0.015,,,,0.0,0.0,,,1.75,11.11,0.001,,,,,,,,,0.457,,,,,,,,1025.0,340.0,,,,,,,,,,,11.0,-104.55,964.0,5.0,7.87,21.74,-104.55
92,17470,108133,2022-08-14 17:30:19.300000,40.869423,-82.233391,0.526,0.019,,873.85,346.0,0.0,0.0,-99.03,10.0,3.4,50.0,0.004,-99.03,,,,,,,,0.234,,,,,,,,1025.0,340.0,,,,,,,,,,,11.67,-104.15,1172.0,5.0,8.39,4.35,-104.15
93,17471,108138,2022-08-14 17:30:19.800000,40.86948,-82.2332,0.801,0.028,,873.85,346.0,0.0,0.0,-97.32,10.0,1.06,16.0,0.001,-97.32,,,,,,,,0.282,,,,,,,,1025.0,340.0,,,,,,,,,,,12.08,-102.28,1735.0,5.0,10.61,6.0,-102.28
94,17472,108143,2022-08-14 17:30:20.300000,40.86953,-82.233009,0.274,0.012,,873.85,346.0,0.0,0.0,-101.48,10.0,0.0,0.0,0.003,-101.48,,,,,,,,0.003,,,,,,,,1025.0,340.0,,,,,,,,,,,,-102.35,734.0,5.0,,,-102.35
95,17473,108148,2022-08-14 17:30:20.800000,40.869579,-82.232819,0.801,0.029,,873.85,346.0,,,-100.48,10.0,,,0.0,-100.48,,,,,,,,0.0,,,,,,,,1025.0,340.0,,,,,,,,,,,11.0,-100.91,1786.0,5.0,6.28,3.45,-100.91
96,17474,108153,2022-08-14 17:30:21.300000,40.869637,-82.232628,0.573,0.025,,,,,,,,,,,,,,,,,,,,,,,,,,,1025.0,340.0,,,,,,,,,,,9.0,-100.56,1579.0,5.0,8.7,5.0,-100.56
97,17475,108158,2022-08-14 17:30:21.800000,40.86969,-82.232437,0.116,0.014,,,,0.0,0.0,,,1.15,29.03,0.002,,,,,,,,,0.34,,,,,,,,1025.0,340.0,,,,,,,,,,,8.0,-102.04,844.0,5.0,8.74,0.0,-102.04
98,17476,108163,2022-08-14 17:30:22.300000,40.86974,-82.232254,0.23,0.019,,,,0.0,0.0,,,0.43,13.79,0.002,,,,,,,,,0.278,,,,,,,,1025.0,340.0,,,,,,,,,,,,-102.67,1176.0,5.0,,,-102.67
99,17477,108168,2022-08-14 17:30:22.800000,40.869789,-82.232071,0.276,0.017,,,,,,,,1.35,16.67,0.0,,,,,,,,,0.347,,,,,,,,1025.0,340.0,,,,,,,,,,,9.75,-101.33,1068.0,5.0,11.0,0.0,-101.33
100,17478,108173,2022-08-14 17:30:23.300000,40.869843,-82.23188,0.503,0.016,,873.85,346.0,0.0,0.0,-98.85,10.0,1.6,5.0,0.002,-98.85,,,,,,,,0.362,,,,,,,,1025.0,340.0,,,,,,,,,,,,-99.42,1016.0,5.0,8.09,0.0,-99.42
101,17479,108178,2022-08-14 17:30:23.800000,40.8699,-82.231689,0.458,0.021,,873.85,346.0,0.0,0.0,-101.08,10.0,0.0,0.0,0.003,-101.08,,,,,,,,0.001,,,,,,,,1025.0,340.0,,,,,,,,,,,16.5,-99.33,1319.0,5.0,13.57,25.0,-99.33
102,17480,108183,2022-08-14 17:30:24.300000,40.869949,-82.231499,0.114,0.01,,873.85,346.0,2.0,0.0,-105.61,10.0,0.0,30.0,0.003,-105.61,,,,,,,,0.062,,,,,,,,1025.0,340.0,,,,,,,,,,,,-99.58,652.0,5.0,5.96,0.0,-99.58
103,17481,108187,2022-08-14 17:30:24.487861,40.869968,-82.23143,,,NR SCG Modification Success,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
104,17482,108195,2022-08-14 17:30:24.800000,40.869999,-82.231308,0.16,0.016,,873.85,340.0,,,-93.97,10.0,0.0,0.0,0.0,-93.97,,,,,,,,0.016,,,,,,,,1025.0,340.0,,,,,,,,,,,15.0,-99.3,1020.0,5.0,9.74,4.0,-99.3
105,17483,108200,2022-08-14 17:30:25.300000,40.870049,-82.231125,0.323,0.018,,873.85,340.0,1.0,0.0,-97.2,10.0,,,0.027,-97.2,,,,,,,,0.0,,,,,,,,1025.0,340.0,,,,,,,,,,,14.67,-99.86,1120.0,5.0,7.48,13.95,-99.86
106,17484,108205,2022-08-14 17:30:25.800000,40.870098,-82.230942,0.183,0.013,,873.85,340.0,3.4,0.0,-94.43,10.0,3.0,0.0,0.038,-94.43,,,,,,,,0.045,,,,,,,,1025.0,340.0,,,,,,,,,,,10.0,-99.17,808.0,5.0,10.5,0.0,-99.17
107,17485,108210,2022-08-14 17:30:26.300000,40.870148,-82.230751,0.251,0.012,,,,3.4,0.0,,,5.0,0.0,0.033,,,,,,,,,0.038,,,,,,,,1025.0,340.0,,,,,,,,,,,8.6,-97.94,756.0,5.0,6.87,2.17,-97.94
108,17486,108215,2022-08-14 17:30:26.800000,40.870201,-82.23056,0.434,0.016,,,,0.83,25.0,,,5.5,0.0,0.037,,,,,,,,,0.191,,,,,,,,1025.0,340.0,,,,,,,,,,,,-98.07,1016.0,5.0,,,-98.07
109,17487,108220,2022-08-14 17:30:27.300000,40.870255,-82.23037,0.184,0.015,,,,0.0,0.0,,,,,0.004,,,,,,,,,0.0,,,,,,,,1025.0,340.0,,,,,,,,,,,,-99.42,952.0,5.0,7.22,9.38,-99.42
110,17488,108225,2022-08-14 17:30:27.800000,40.870312,-82.230179,0.115,0.01,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,1025.0,340.0,,,,,,,,,,,,-100.76,634.0,5.0,,,-100.76
111,17489,108245,2022-08-14 17:30:29.800000,40.870522,-82.229439,0.323,0.018,,873.85,340.0,1.0,0.0,-94.52,10.0,10.0,0.0,0.002,-94.52,,,,,,,,0.2,,,,,,,,1025.0,340.0,,,,,,,,,,,12.33,-100.96,1120.0,5.0,,,-100.96
112,17490,108250,2022-08-14 17:30:30.300000,40.870571,-82.229248,0.16,0.011,,,,,,,,8.0,0.0,0.0,,,,,,,,,0.452,,,,,,,,1025.0,340.0,,,,,,,,,,,,-102.62,704.0,5.0,3.0,0.0,-102.62
113,17491,108255,2022-08-14 17:30:30.800000,40.870621,-82.229057,0.367,0.015,,,,1.0,0.0,,,8.0,0.0,0.005,,,,,,,,,0.152,,,,,,,,1025.0,340.0,,,,,,,,,,,16.0,-100.34,912.0,5.0,,,-100.34
114,17492,108260,2022-08-14 17:30:31.300000,40.87067,-82.228874,0.688,0.023,,,,5.0,0.0,,,10.0,0.0,0.006,,,,,,,,,0.415,,,,,,,,1025.0,340.0,,,,,,,,,,,,-95.93,1409.0,5.0,,,-95.93
115,17493,108265,2022-08-14 17:30:31.800000,40.87072,-82.228691,0.618,0.023,,873.85,340.0,,,-90.13,10.0,11.0,0.0,0.0,-90.13,,,,,,,,0.629,,,,,,,,1025.0,340.0,,,,,,,,,,,20.0,-95.13,1446.0,5.0,14.42,5.17,-95.13
116,17494,108270,2022-08-14 17:30:32.300000,40.870773,-82.2285,0.892,0.023,,873.85,340.0,0.0,0.0,-89.96,10.0,11.0,0.0,0.002,-89.96,,,,,,,,0.456,,,,,,,,1025.0,340.0,,,,,,,,,,,17.5,-94.06,1432.0,5.0,14.43,2.17,-94.06
117,17495,108275,2022-08-14 17:30:32.800000,40.870831,-82.228317,1.487,0.032,,873.85,340.0,0.0,0.0,-89.87,10.0,10.0,0.0,0.001,-89.87,,,,,,,,0.21,,,,,,,,1025.0,340.0,,,,,,,,,,,8.5,-98.95,1996.0,5.0,13.89,6.19,-98.95
118,17496,108280,2022-08-14 17:30:33.300000,40.870876,-82.228149,1.25,0.042,,873.85,340.0,1.0,0.0,-89.7,10.0,15.0,0.0,0.006,-89.7,,,,,,,,0.236,,,,,,,,1025.0,340.0,,,,,,,,,,,7.79,-101.05,2607.0,5.0,12.27,7.14,-101.05
119,17497,108285,2022-08-14 17:30:33.800000,40.870922,-82.227974,1.052,0.032,,873.85,340.0,1.0,0.0,-89.9,10.0,15.75,0.0,0.002,-89.9,,,,,,,,1.032,,,,,,,,1025.0,340.0,,,,,,,,,,,12.08,-99.76,2000.0,5.0,17.37,15.22,-99.76
120,17498,108290,2022-08-14 17:30:34.300000,40.870979,-82.227776,1.163,0.02,,,,,,,,15.5,0.0,0.0,,,,,,,,,0.605,,,,,,,,1025.0,340.0,,,,,,,,,,,14.92,-97.17,1260.0,5.0,17.39,15.22,-97.17
121,17499,108295,2022-08-14 17:30:34.800000,40.87104,-82.22757,1.27,0.047,,,,1.0,0.0,,,16.5,0.0,0.004,,,,,,,,,0.683,,,,,,,,1025.0,340.0,,,,,,,,,,,20.5,-98.34,2956.0,5.0,12.23,10.98,-98.34
122,17500,108300,2022-08-14 17:30:35.300000,40.87109,-82.227386,1.692,0.035,,,,2.0,50.0,,,16.0,0.0,0.005,,,,,,,,,0.348,,,,,,,,1025.0,340.0,,,,,,,,,,,16.0,-97.9,2197.0,5.0,12.17,12.09,-97.9
123,17501,108305,2022-08-14 17:30:35.800000,40.87114,-82.227211,1.368,0.034,,873.85,340.0,9.5,33.33,-94.09,10.0,10.0,0.0,0.015,-94.09,,,,,,,,0.21,,,,,,,,1025.0,340.0,,,,,,,,,,,11.0,-95.7,2145.0,5.0,14.91,3.45,-95.7
124,17502,108310,2022-08-14 17:30:36.300000,40.871185,-82.227043,1.348,0.041,,873.85,340.0,,,-94.53,10.0,12.0,0.0,0.0,-94.53,,,,,,,,0.737,,,,,,,,1025.0,340.0,,,,,,,,,,,14.75,-96.27,2532.0,5.0,15.5,12.8,-96.27
125,17503,108315,2022-08-14 17:30:36.800000,40.871231,-82.226868,1.759,0.032,,873.85,340.0,,,-95.09,10.0,13.0,0.0,0.0,-95.09,,,,,,,,0.271,,,,,,,,1025.0,340.0,,,,,,,,,,,15.0,-98.44,2029.0,5.0,13.13,8.7,-98.44
126,17504,108320,2022-08-14 17:30:37.300000,40.871288,-82.226677,1.419,0.045,,873.85,340.0,8.0,0.0,-95.8,10.0,12.5,0.0,0.007,-95.8,,,,,,,,0.544,,,,,,,,1025.0,340.0,,,,,,,,,,,14.67,-97.06,2821.0,5.0,14.43,10.0,-97.06
127,17505,108325,2022-08-14 17:30:37.800000,40.871349,-82.226471,1.371,0.039,,873.85,340.0,7.0,0.0,-95.68,10.0,10.5,0.0,0.008,-95.68,,,,,,,,0.41,,,,,,,,1025.0,340.0,,,,,,,,,,,12.0,-96.66,2421.0,5.0,14.62,9.46,-96.66
128,17506,108330,2022-08-14 17:30:38.300000,40.871407,-82.22628,1.348,0.032,,,,,,,,21.0,0.0,0.0,,,,,,,,,0.225,,,,,,,,1025.0,340.0,,,,,,,,,,,15.25,-97.09,1998.0,5.0,16.54,14.71,-97.09
129,17507,108335,2022-08-14 17:30:38.800000,40.87146,-82.226089,1.072,0.02,,,,3.0,0.0,,,4.0,0.0,0.003,,,,,,,,,0.089,,,,,,,,1025.0,340.0,,,,,,,,,,,14.5,-98.74,1267.0,5.0,12.26,13.59,-98.74
130,17508,108340,2022-08-14 17:30:39.300000,40.871506,-82.225922,0.71,0.028,,,,,,,,5.5,0.0,0.0,,,,,,,,,0.241,,,,,,,,1025.0,340.0,,,,,,,,,,,8.5,-99.94,1745.0,5.0,,,-99.94
131,17509,108345,2022-08-14 17:30:39.800000,40.871552,-82.225754,0.755,0.031,,873.85,340.0,3.0,0.0,-95.73,10.0,,,0.008,-95.73,,,,,,,,0.0,,,,,,,,1025.0,340.0,,,,,,,,,,,13.14,-102.04,1934.0,5.0,12.5,6.52,-102.04
132,17510,108350,2022-08-14 17:30:40.300000,40.871605,-82.225571,0.481,0.022,,873.85,340.0,,,-96.13,10.0,,,,-96.13,,,,,,,,0.0,,,,,,,,1025.0,340.0,,,,,,,,,,,12.29,-102.34,1402.0,5.0,13.65,4.44,-102.34
133,17511,108355,2022-08-14 17:30:40.800000,40.871658,-82.22538,1.301,0.038,,,,0.0,0.0,,,1.5,0.0,0.003,,,,,,,,,0.075,,,,,,,,1025.0,340.0,,,,,,,,,,,14.64,-100.53,2374.0,5.0,14.1,8.33,-100.53
134,17512,108360,2022-08-14 17:30:41.300000,40.871708,-82.225189,0.845,0.03,,,,,100.0,,,21.0,0.0,0.0,,,,,,,,,0.225,,,,,,,,1025.0,340.0,,,,,,,,,,,5.8,-100.02,1857.0,5.0,11.7,2.38,-100.02
135,17513,108365,2022-08-14 17:30:41.800000,40.871758,-82.224998,0.618,0.023,,,,0.0,0.0,,,9.0,0.0,0.002,,,,,,,,,0.205,,,,,,,,1025.0,340.0,,,,,,,,,,,4.09,-103.9,1422.0,5.0,13.57,13.04,-103.9
136,17514,108370,2022-08-14 17:30:42.300000,40.871815,-82.224808,0.893,0.031,,873.85,340.0,0.0,0.0,-94.33,10.0,9.33,0.0,0.001,-94.33,,,,,,,,0.625,,,,,,,,1025.0,340.0,,,,,,,,,,,2.93,-107.26,1918.0,5.0,10.61,8.57,-107.26
137,17515,108375,2022-08-14 17:30:42.800000,40.871868,-82.224617,0.802,0.022,,873.85,340.0,2.0,0.0,-94.0,10.0,9.67,0.0,0.003,-94.0,,,,,,,,0.585,,,,,,,,1025.0,340.0,,,,,,,,,,,5.29,-104.68,1366.0,5.0,,,-104.68
138,17516,108380,2022-08-14 17:30:43.300000,40.871918,-82.224434,1.211,0.03,,873.85,340.0,3.0,0.0,-92.77,10.0,12.0,0.0,0.015,-92.77,,,,,,,,0.289,,,,,,,,1025.0,340.0,,,,,,,,,,,12.67,-104.42,1883.0,5.0,13.87,1.53,-104.42
139,17517,108385,2022-08-14 17:30:43.800000,40.871967,-82.224251,0.893,0.023,,873.85,340.0,,,-93.5,10.0,14.0,0.0,0.0,-93.5,,,,,,,,0.292,,,,,,,,1025.0,340.0,,,,,,,,,,,10.0,-107.09,1459.0,5.0,11.79,5.41,-107.09
140,17518,108390,2022-08-14 17:30:44.300000,40.872025,-82.22406,1.05,0.027,,873.85,340.0,1.0,50.0,-94.98,10.0,8.0,0.0,0.003,-94.98,,,,,,,,0.174,,,,,,,,1025.0,340.0,,,,,,,,,,,7.88,-110.42,1703.0,5.0,10.07,14.44,-110.42
141,17519,108395,2022-08-14 17:30:44.800000,40.872078,-82.223877,1.077,0.022,,,,3.0,0.0,,,20.0,50.0,0.002,,,,,,,,,0.215,,,,,,,,1025.0,340.0,,,,,,,,,,,4.5,-108.51,1355.0,5.0,8.41,2.33,-108.51
142,17520,108400,2022-08-14 17:30:45.300000,40.872128,-82.223686,0.869,0.023,,,,,,,,7.0,0.0,0.0,,,,,,,,,0.164,,,,,,,,1025.0,340.0,,,,,,,,,,,11.33,-106.14,1443.0,5.0,9.94,0.0,-106.14
143,17521,108405,2022-08-14 17:30:45.800000,40.872177,-82.223495,1.395,0.026,,,,,,,,9.0,0.0,0.0,,,,,,,,,0.146,,,,,,,,1025.0,340.0,,,,,,,,,,,12.0,-106.3,1628.0,5.0,14.09,30.43,-106.3
144,17522,108410,2022-08-14 17:30:46.300000,40.872234,-82.223312,1.532,0.031,,873.85,340.0,2.0,0.0,-94.61,10.0,8.0,0.0,0.003,-94.61,,,,,,,,0.183,,,,,,,,1025.0,340.0,,,,,,,,,,,6.0,-111.37,1954.0,5.0,8.35,7.5,-111.37
145,17523,108415,2022-08-14 17:30:46.800000,40.872288,-82.223129,1.254,0.022,,873.85,340.0,6.0,0.0,-94.85,10.0,8.0,0.0,0.008,-94.85,,,,,,,,0.157,,,,,,,,1025.0,340.0,,,,,,,,,,,5.67,-110.24,1359.0,5.0,10.93,10.98,-110.24
146,17524,108420,2022-08-14 17:30:47.300000,40.872337,-82.222939,1.465,0.041,,873.85,340.0,5.0,0.0,-94.03,10.0,22.5,42.86,0.004,-94.03,,,,,,,,0.914,,,,,,,,1025.0,340.0,,,,,,,,,,,2.92,-111.15,2551.0,5.0,6.22,11.76,-111.15
147,17525,108425,2022-08-14 17:30:47.800000,40.872387,-82.222748,1.896,0.031,,873.85,340.0,3.0,0.0,-94.34,10.0,18.67,0.0,0.006,-94.34,,,,,,,,0.502,,,,,,,,1025.0,340.0,,,,,,,,,,,12.67,-109.88,1931.0,5.0,8.51,2.22,-109.88
148,17526,108430,2022-08-14 17:30:48.300000,40.872444,-82.222557,2.766,0.041,,873.85,340.0,0.0,0.0,-94.87,10.0,20.0,0.0,0.001,-94.87,,,,,,,,0.586,,,,,,,,1025.0,340.0,,,,,,,,,,,9.5,-106.97,2585.0,5.0,9.65,24.39,-106.97
149,17527,108435,2022-08-14 17:30:48.800000,40.872498,-82.222366,0.821,0.029,,,,0.0,0.0,,,18.75,22.22,0.001,,,,,,,,,1.347,,,,,,,,1025.0,340.0,,,,,,,,,,,9.82,-105.31,1795.0,5.0,11.04,8.7,-105.31
150,17528,108440,2022-08-14 17:30:49.300000,40.872547,-82.222176,1.395,0.047,,,,0.0,0.0,,,16.0,0.0,0.001,,,,,,,,,0.174,,,,,,,,1025.0,340.0,,,,,,,,,,,10.33,-106.45,2909.0,5.0,9.22,4.82,-106.45
151,17529,108445,2022-08-14 17:30:49.800000,40.872597,-82.221985,0.482,0.024,,,,0.0,0.0,,,0.5,0.0,0.001,,,,,,,,,0.064,,,,,,,,1025.0,340.0,,,,,,,,,,,,-103.54,1467.0,5.0,12.05,9.76,-103.54
152,17530,108450,2022-08-14 17:30:50.300000,40.872654,-82.221794,0.916,0.019,,,,,,,,14.5,0.0,0.0,,,,,,,,,0.344,,,,,,,,1025.0,340.0,,,,,,,,,,,18.0,-103.91,1174.0,5.0,10.83,6.52,-103.91
153,17531,108455,2022-08-14 17:30:50.800000,40.872707,-82.221611,0.618,0.017,,873.85,340.0,,,-95.26,10.0,,,0.0,-95.26,,,,,,,,0.0,,,,,,,,1025.0,340.0,,,,,,,,,,,,-105.6,1093.0,5.0,,,-105.6
154,17532,108460,2022-08-14 17:30:51.300000,40.872765,-82.22142,0.776,0.031,,,,,,,,18.0,0.0,0.0,,,,,,,,,0.195,,,,,,,,1025.0,340.0,,,,,,,,,,,,-104.2,1939.0,5.0,10.44,0.0,-104.2
155,17533,108465,2022-08-14 17:30:51.800000,40.872818,-82.22123,0.414,0.023,,,,0.0,0.0,,,1.0,0.0,0.002,,,,,,,,,0.027,,,,,,,,1025.0,340.0,,,,,,,,,,,8.75,-107.94,1430.0,5.0,9.96,6.67,-107.94
156,17534,108470,2022-08-14 17:30:52.300000,40.872868,-82.221039,1.007,0.035,,,,,,,,15.75,0.0,0.0,,,,,,,,,0.999,,,,,,,,1025.0,340.0,,,,,,,,,,,10.0,-105.32,2213.0,5.0,11.17,7.32,-105.32
157,17535,108475,2022-08-14 17:30:52.800000,40.872917,-82.22084,0.845,0.022,,873.85,340.0,2.0,0.0,-94.88,10.0,1.0,0.0,0.002,-94.88,,,,,,,,0.026,,,,,,,,1025.0,340.0,,,,,,,,,,,14.67,-106.16,1378.0,5.0,7.92,11.24,-106.16
158,17536,108480,2022-08-14 17:30:53.300000,40.872974,-82.22065,0.39,0.02,,873.85,340.0,,,-93.91,10.0,1.0,0.0,0.0,-93.91,,,,,,,,0.21,,,,,,,,1025.0,340.0,,,,,,,,,,,11.5,-105.99,1226.0,5.0,5.64,2.38,-105.99
159,17537,108485,2022-08-14 17:30:53.800000,40.873028,-82.220451,0.16,0.015,,873.85,340.0,,,-92.95,10.0,6.0,0.0,0.0,-92.95,,,,,,,,0.146,,,,,,,,1025.0,340.0,,,,,,,,,,,,-104.69,939.0,5.0,10.83,6.82,-104.69
160,17538,108490,2022-08-14 17:30:54.300000,40.873085,-82.220253,0.551,0.031,,873.85,340.0,,,-91.05,10.0,8.0,0.0,0.0,-91.05,,,,,,,,0.412,,,,,,,,1025.0,340.0,,,,,,,,,,,,-103.39,1939.0,5.0,8.5,0.0,-103.39
161,17539,108495,2022-08-14 17:30:54.800000,40.873138,-82.220055,0.617,0.019,,873.85,340.0,0.0,0.0,-91.45,10.0,5.0,0.0,0.006,-91.45,,,,,,,,0.12,,,,,,,,1025.0,340.0,,,,,,,,,,,15.67,-103.87,1170.0,5.0,10.48,15.22,-103.87
162,17540,108500,2022-08-14 17:30:55.300000,40.873196,-82.219856,0.504,0.017,,,,,100.0,,,8.67,0.0,0.0,,,,,,,,,0.546,,,,,,,,1025.0,340.0,,,,,,,,,,,16.67,-103.11,1066.0,5.0,7.09,0.0,-103.11
163,17541,108505,2022-08-14 17:30:55.800000,40.873249,-82.219658,0.777,0.023,,,,0.0,0.0,,,10.0,0.0,0.001,,,,,,,,,0.561,,,,,,,,1025.0,340.0,,,,,,,,,,,13.67,-100.02,1459.0,5.0,11.09,13.64,-100.02
164,17542,108510,2022-08-14 17:30:56.300000,40.873306,-82.219467,0.642,0.024,,,,,,,,12.0,0.0,0.0,,,,,,,,,0.246,,,,,,,,1025.0,340.0,,,,,,,,,,,14.75,-99.51,1495.0,5.0,13.57,6.52,-99.51
165,17543,108515,2022-08-14 17:30:56.800000,40.87336,-82.219269,1.167,0.034,,873.85,340.0,0.0,0.0,-94.11,10.0,10.17,0.0,0.003,-94.11,,,,,,,,1.369,,,,,,,,1025.0,340.0,,,,,,,,,,,19.43,-99.41,2148.0,5.0,10.65,17.5,-99.41
166,17544,108520,2022-08-14 17:30:57.300000,40.873417,-82.219078,1.189,0.028,,873.85,340.0,1.0,0.0,-94.59,10.0,12.75,33.33,0.004,-94.59,,,,,,,,0.94,,,,,,,,1025.0,340.0,,,,,,,,,,,16.14,-100.03,1771.0,5.0,9.33,0.0,-100.03
167,17545,108525,2022-08-14 17:30:57.800000,40.87347,-82.21888,1.485,0.039,,873.85,340.0,3.0,0.0,-95.17,10.0,10.46,0.0,0.002,-95.17,,,,,,,,2.733,,,,,,,,1025.0,340.0,,,,,,,,,,,18.13,-100.43,2408.0,5.0,9.17,0.0,-100.43
168,17546,108530,2022-08-14 17:30:58.300000,40.873524,-82.218674,2.193,0.05,,873.85,340.0,1.0,0.0,-94.59,10.0,9.0,50.0,0.003,-94.59,,,,,,,,0.551,,,,,,,,1025.0,340.0,,,,,,,,,,,18.67,-98.06,3150.0,5.0,13.72,9.89,-98.06
169,17547,108535,2022-08-14 17:30:58.800000,40.873577,-82.218468,0.709,0.026,,873.85,340.0,0.0,50.0,-93.94,10.0,7.12,0.0,0.001,-93.94,,,,,,,,2.496,,,,,,,,1025.0,340.0,,,,,,,,,,,15.5,-97.61,1621.0,5.0,14.8,11.43,-97.61
170,17548,108540,2022-08-14 17:30:59.300000,40.873634,-82.218277,2.652,0.054,,,,2.0,50.0,,,6.57,21.43,0.003,,,,,,,,,1.759,,,,,,,,1025.0,340.0,,,,,,,,,,,20.83,-97.03,3379.0,5.0,,,-97.03
171,17549,108545,2022-08-14 17:30:59.800000,40.873688,-82.218079,1.212,0.029,,,,2.0,0.0,,,,,0.007,,,,,,,,,0.0,,,,,,,,1025.0,340.0,,,,,,,,,,,10.0,-95.59,1816.0,5.0,12.61,26.09,-95.59
172,17550,108550,2022-08-14 17:31:00.300000,40.873749,-82.21788,1.006,0.038,,,,,,,,5.0,0.0,0.0,,,,,,,,,0.381,,,,,,,,1025.0,340.0,,,,,,,,,,,21.5,-95.49,2381.0,5.0,9.67,15.45,-95.49
173,17551,108555,2022-08-14 17:31:00.800000,40.87381,-82.217682,0.573,0.022,,873.85,340.0,0.0,0.0,-96.35,10.0,4.4,0.0,0.002,-96.35,,,,,,,,0.504,,,,,,,,1025.0,340.0,,,,,,,,,,,15.5,-94.57,1394.0,5.0,10.0,0.0,-94.57
