,TIME_STAMP,Lon,Lat,Event Technology,Event LTE Events,Event 5G-NR/LTE Events,Event Port Number,LTE KPI Chip Type,LTE KPI PCell Serving PCI,LTE KPI PCell Serving Band,LTE KPI PCell Serving EARFCN(DL),LTE KPI PCell Serving EARFCN(UL),LTE KPI PCell Serving BandWidth(DL),LTE KPI PCell Serving BandWidth(UL),LTE KPI PCell Serving RSRP[dBm],LTE KPI PCell Serving RSRQ[dB],LTE KPI PCell Serving RSSI[dBm],LTE KPI PCell PUSCH Power[dBm],LTE KPI PCell PUCCH Power[dBm],LTE KPI PCell Total Tx Power[dBm],LTE KPI PCell SINR[dB],LTE KPI PCell WB CQI CW0,LTE KPI PCell WB CQI CW1,LTE KPI PCell WB RI,LTE KPI PCell WB RI1 Rate,LTE KPI PCell WB RI2 Rate,LTE KPI PCell WB RI3 Rate,LTE KPI PCell WB RI4 Rate,LTE KPI PCell Tx Mode,LTE KPI PCell WB PMI 0,LTE KPI PCell M(Tx) x N(Rx) Ant,LTE KPI PCell DL MCS0,LTE KPI PCell DL MCS1,LTE KPI PCell UL MCS,LTE KPI PCell DL Modulation0,LTE KPI PCell DL Modulation1,LTE KPI PCell UL Modulation,LTE KPI Pcell PDSCH PRB Number(Avg),LTE KPI PCell PUSCH PRB Number(Avg),LTE KPI PCell PDSCH PRB Number(Including 0),LTE KPI PCell PDSCH PRB Number TB0(Including 0),LTE KPI PCell PDSCH PRB Number TB1(Including 0),LTE KPI PCell PUSCH PRB Number(Including 0),LTE KPI PCell PDSCH BLER[%],LTE KPI PCell PUSCH BLER[%],LTE KPI PCell PDSCH Throughput[Mbps],LTE KPI PCell PUSCH Throughput[Mbps],LTE KPI PCell MAC DL Throughput[Mbps],LTE KPI PCell MAC UL Throughput[Mbps],LTE KPI PDSCH PRB Number(Avg)(Total),LTE KPI PUSCH PRB Number(Avg)(Total),LTE KPI PDSCH PRB Number(Including 0)(Total),LTE KPI PUSCH PRB Number(Including 0)(Total),LTE KPI PDSCH BLER[%],LTE KPI PUSCH BLER[%],LTE KPI PDSCH Throughput[Mbps],LTE KPI PUSCH Throughput[Mbps],LTE KPI MAC DL Throughput[Mbps],LTE KPI MAC UL Throughput[Mbps],LTE KPI RLC DL Throughput[Mbps],LTE KPI RLC UL Throughput[Mbps],LTE KPI PDCP DL Throughput[Mbps],LTE KPI PDCP UL Throughput[Mbps],LTE KPI TAC,LTE KPI CA Type,LTE KPI UL CA Type,LTE KPI Band Combination,Smart Phone Smart Throughput Mobile Network DL Throughput [Mbps],Smart Phone Smart Throughput Mobile Network UL Throughput [Mbps],Smart Phone Smart Throughput Mobile Network Rx Byte,Smart Phone Smart Throughput Mobile Network Tx Byte,5G KPI Total Info Layer2 PDCP DL Throughput(+Split Bearer) [Mbps]
24,2022-08-14 11:18:02.000000,,,LTE,,,,LTE Qualcomm,34.0,Band 2,675.0,18675.0,15.0,15.0,-96.09,-12.31,-64.78,,,3.41,7.9,8.75,8.0,2.0,0.0,100.0,0.0,0.0,TM4,13.0,,,,,,,,,,0.14,0.13,0.06,0.06,,,0.036,0.031,0.021,0.026,,,0.14,0.06,,,0.036,0.031,0.021,0.026,,,,,21528.0,NonCA,,Band 2,,,,,0.003
25,2022-08-14 11:18:02.100000,,,,,,,,34.0,Band 2,675.0,18675.0,15.0,15.0,-96.88,-9.13,-66.56,,,-14.05,9.7,10.0,10.0,2.0,0.0,100.0,0.0,0.0,TM4,13.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21528.0,NonCA,,Band 2,,,,,
26,2022-08-14 11:18:02.200000,,,,,,,,34.0,Band 2,675.0,18675.0,15.0,15.0,-96.53,-11.23,-65.08,,,-12.92,10.2,11.33,11.0,2.0,0.0,100.0,0.0,0.0,TM4,13.0,,5.5,,,QPSK,,,4.0,,,,,,0.0,0.0,,,,,4.0,,,,0.0,0.0,,,,,0.002,,0.0,,21528.0,NonCA,,Band 2,,,,,
27,2022-08-14 11:18:02.269458,,,,eventB1_NR_r15,eventB1_NR_r15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,2022-08-14 11:18:02.300000,,,,,,,,34.0,Band 2,675.0,18675.0,15.0,15.0,-97.14,-11.25,-66.78,,,-12.94,11.48,11.0,10.0,2.0,0.0,100.0,0.0,0.0,TM4,13.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,21528.0,NonCA,,Band 2,0.003,0.003,198.0,198.0,
29,2022-08-14 11:18:02.400000,,,,,,,,34.0,Band 2,675.0,18675.0,15.0,15.0,-97.16,-12.13,-62.81,,7.9,-13.8,9.0,10.67,10.67,2.0,0.0,100.0,0.0,0.0,TM4,13.0,,,,25.13,,,64QAM,,3.6,,,,,,,,,,,,3.6,,,,,,,,,0.002,,0.0,,21528.0,NonCA,NonCA,Band 2,,,,,
30,2022-08-14 11:18:02.500000,,,,,,,,34.0,Band 2,675.0,18675.0,15.0,15.0,-95.42,-13.02,-62.78,,,-17.7,10.13,9.33,9.33,2.0,0.0,100.0,0.0,0.0,TM4,13.0,,11.4,14.5,,QPSK,64QAM,,4.0,,,,,,33.33,25.0,,,,,4.0,,,,33.33,25.0,,,,,,,,,21528.0,NonCA,,Band 2,,,,,0.003
31,2022-08-14 11:18:02.600000,,,,,,,,34.0,Band 2,675.0,18675.0,15.0,15.0,-92.75,-13.92,-59.44,20.84,,-3.53,12.4,10.75,9.75,2.0,0.0,100.0,0.0,0.0,TM4,13.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21528.0,NonCA,,Band 2,,,,,
32,2022-08-14 11:18:02.700000,,,,,,,,34.0,Band 2,675.0,18675.0,15.0,15.0,-93.56,-12.78,-61.91,,5.44,-14.6,9.8,11.0,10.0,2.0,0.0,100.0,0.0,0.0,TM4,13.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.004,,0.0,,21528.0,NonCA,,Band 2,,,,,
33,2022-08-14 11:18:02.800000,,,,,,,,34.0,Band 2,675.0,18675.0,15.0,15.0,-94.15,-9.04,-65.1,,,-11.86,12.43,10.75,11.25,2.0,0.0,100.0,0.0,0.0,TM4,13.0,,5.5,,,QPSK,,,4.0,,,,,,0.0,14.29,,,,,4.0,,,,0.0,14.29,,,,,,,,,21528.0,NonCA,,Band 2,0.002,0.002,132.0,132.0,
